Name,Price,Sizes,Image_URL,Product_URL
CM098 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,"L, XXL, 4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-429.jpg,https://kosuli.mk/product/cm098-regular-fit-long-sleeve-blue/
CM095 REGULAR FIT LONG SLEEVE SILVER,1500 ДЕН,XXL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM095.jpg,https://kosuli.mk/product/cm095-regular-fit-long-sleeve-silver/
CM094 REGULAR FIT LONG SLEEVE RED/SILVER,1500 ДЕН,"XXL,",https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM094.jpg,https://kosuli.mk/product/cm094-regular-fit-long-sleeve-red-silver/
CM091 REGULAR FIT LONG SLEEVE BLUE/WHITE,1500 ДЕН,"L,  XXL,",https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM091.jpg,https://kosuli.mk/product/cm091-regular-fit-long-sleeve-blue-white/
CM089 REGULAR FIT LONG SLEEVE ORANGE,1500 ДЕН,"XL, XXL,  4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-474.jpg,https://kosuli.mk/product/cm089-regular-fit-long-sleeve-orange/
CM088 REGULAR FIT LONG SLEEVE RED,1500 ДЕН,"XL, XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-592.jpg,https://kosuli.mk/product/cm088-regular-fit-long-sleeve-red/
CM087 REGULAR FIT LONG SLEEVE,1500 ДЕН,XXL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM087.jpg,https://kosuli.mk/product/cm087-regular-fit-long-sleeve/
CM086 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,"2XL,",https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM086.jpg,https://kosuli.mk/product/cm086-regular-fit-long-sleeve-blue/
CM083 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,"L, XL, XXL, 4XL, 5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-437.jpg,https://kosuli.mk/product/cm083-regular-fit-long-sleeve-blue/
CM082 REGULAR FIT LONG SLEEVE RED,1500 ДЕН,"XXL, 5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-586.jpg,https://kosuli.mk/product/cm082-regular-fit-long-sleeve-red/
CM081 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,"XXL,",https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM081.jpg,https://kosuli.mk/product/cm081-regular-fit-long-sleeve-blue/
CM065 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,5XL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM065.jpg,https://kosuli.mk/product/cm065-regular-fit-long-sleeve-blue/
CM055 REGULAR FIT LONG SLEEVE RED,1500 ДЕН,"L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-343.jpg,https://kosuli.mk/product/cm055-regular-fit-long-sleeve-red/
CM054 REGULAR FIT LONG SLEEVE PINK\LEN,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-378.jpg,https://kosuli.mk/product/cm054-regular-fit-long-sleeve-pinklen/
СМ052 REGULAR FIT LONG SLEEVE PINK OXFORD,1500 ДЕН,"L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-362.jpg,https://kosuli.mk/product/%d1%81%d0%bc052-regular-fit-long-sleeve-pink-oxford/
CM050 REGULAR FIT LONG SLEEVE BLUE/LEN PRINT,1500 ДЕН,XL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-382.jpg,https://kosuli.mk/product/cm050-regular-fit-long-sleeve-blue-len-print/
СМ049 REGULAR FIT LONG SLEEVE PINK LEN,1500 ДЕН,XL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-375.jpg,https://kosuli.mk/product/%d1%81%d0%bc049-regular-fit-long-sleeve-pink-len/
СМ048 REGULAR FIT LONG SLEEVE WHITE LEN,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-367.jpg,https://kosuli.mk/product/%d1%81%d0%bc048-regular-fit-long-sleeve-white-len/
СМ047 REGULAR FIT LONG SLEEVE ORANGE LEN,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-393.jpg,https://kosuli.mk/product/%d1%81%d0%bc047-regular-fit-long-sleeve-orange-len/
CM046 REGULAR FIT LONG SLEEVE BLUE/LEN,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-358.jpg,https://kosuli.mk/product/cm046-regular-fit-long-sleeve-blue-len/
CM053 REGULAR FIT LONG SLEEVE ORANGE\LEN,1500 ДЕН,"S, M, L,",https://kosuli.mk/wp-content/uploads/2021/05/WEB-351.jpg,https://kosuli.mk/product/cm053-regular-fit-long-sleeve-orangelen/
СМ019 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,M,https://kosuli.mk/wp-content/uploads/2021/05/WEB-559.jpg,https://kosuli.mk/product/%d1%81%d0%bc019-regular-fit-long-sleeve-blue/
СМ017 REGULAR FIT LONG SLEEVE BROWN,1500 ДЕН,,https://kosuli.mk/wp-content/uploads/2021/05/WEB-463.jpg,https://kosuli.mk/product/%d1%81%d0%bc017-regular-fit-long-sleeve-brown/
СМ018 REGULAR FIT LONG SLEEVE BLUE,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-432.jpg,https://kosuli.mk/product/%d1%81%d0%bc018-regular-fit-long-sleeve-blue/
СМ016 REGULAR FIT LONG SLEEVE BLACK,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-461.jpg,https://kosuli.mk/product/%d1%81%d0%bc016-regular-fit-long-sleeve-black/
СМ012 REGULAR FIT LONG SLEEVE,1500 ДЕН,M,https://kosuli.mk/wp-content/uploads/2021/05/WEB-562.jpg,https://kosuli.mk/product/%d1%81%d0%bc012-regular-fit-long-sleeve/
СМ011 REGULAR FIT LONG SLEEVE SILVER,1500 ДЕН,"M, L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-493.jpg,https://kosuli.mk/product/%d1%81%d0%bc011-regular-fit-long-sleeve-silver/
СМ010 REGULAR FIT LONG SLEEVE ORANGE,1500 ДЕН,XL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-415.jpg,https://kosuli.mk/product/%d1%81%d0%bc010-regular-fit-long-sleeve-orange/
СМ009 REGULAR FIT LONG SLEEVE BROWN|WHITE,1500 ДЕН,"M, L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-510.jpg,https://kosuli.mk/product/%d1%81%d0%bc009-regular-fit-long-sleeve-brownwhite/
СМ008 REGULAR FIT LONG SLEEVE,1500 ДЕН,"M, L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-607.jpg,https://kosuli.mk/product/%d1%81%d0%bc008-regular-fit-long-sleeve/
СМ007 REGULAR FIT LONG SLEEVE GREEN,1500 ДЕН,"S,M, L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-410.jpg,https://kosuli.mk/product/%d1%81%d0%bc007-regular-fit-long-sleeve-green/
СМ006 REGULAR FIT LONG SLEEVE,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-420.jpg,https://kosuli.mk/product/%d1%81%d0%bc006-regular-fit-long-sleeve/
CM005 REGULAR FIT LONG SLEEVE SILVER,1500 ДЕН,"M, L, XL, XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-400.jpg,https://kosuli.mk/product/cm005-regular-fit-long-sleeve-silver-2/
CM004 REGULAR FIT LONG SLEEVE SILVER,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-603.jpg,https://kosuli.mk/product/cm004-regular-fit-long-sleeve-silver/
АРТИКЛ СМ003,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/3-1.png,https://kosuli.mk/product/artikl-cm003/
CM002 REGULAR FIT LONG SLEEVE BLUE/WHITE,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-603.jpg,https://kosuli.mk/product/cm002-regular-fit-long-sleeve-blue-white/
CM001 REGULAR FIT LONG SLEEVE BROWN,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-395.jpg,https://kosuli.mk/product/cm001-regular-fit-long-sleeve-brown/
