Name,Price,Sizes,Image_URL,Product_URL
FFM010 MODERN FIT SHORT SLEEVE,1500 ДЕН,"L, XL, XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-319.jpg,https://kosuli.mk/product/ffm010-modern-fit-short-sleeve/
FFM009 MODERN FIT SHORT SLEEVE,1500 ДЕН,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-312.jpg,https://kosuli.mk/product/ffm009-modern-fit-short-sleeve/
FFM008 MODERN FIT SHORT SLEEVE,1500 ДЕН,"XXL, 4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-291.jpg,https://kosuli.mk/product/ffm008-modern-fit-short-sleeve/
FFM007 MODERN FIT SHORT SLEEVE,1500 ДЕН,"M, L, XL, XXL,  5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-331.jpg,https://kosuli.mk/product/ffm007-modern-fit-short-sleeve/
FFM006 MODERN FIT SHORT SLEEVE,1500 ДЕН,"XL, XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-337.jpg,https://kosuli.mk/product/ffm006-modern-fit-short-sleeve/
FFM005 MODERN FIT SHORT SLEEVE,1500 ДЕН,"M, L, XL, XXL, 3XL, 4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-339.jpg,https://kosuli.mk/product/ffm005-modern-fit-short-sleeve/
FFM004 MODERN FIT SHORT SLEEVE,1500 ДЕН,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-293.jpg,https://kosuli.mk/product/ffm004-modern-fit-short-sleeve/
FFM003 MODERN FIT SHORT SLEEVE,1500 ДЕН,"L,  XXL, XL,4XL, 5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-322.jpg,https://kosuli.mk/product/ffm003-modern-fit-short-sleeve/
FFM002 MODERN FIT SHORT SLEEVE,1500 ДЕН,"M,  XXL, 4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-306.jpg,https://kosuli.mk/product/ffm002-modern-fit-short-sleeve/
FFM001 MODERN FIT SHORT SLEEVE,1500 ДЕН,XXL,https://kosuli.mk/wp-content/uploads/2021/05/WEB-300.jpg,https://kosuli.mk/product/ffm001-modern-fit-short-sleeve/
