ИМЕ НА МАРКЕТ,НАЗИВ НА ПРОИЗВОД,ПРОДАЖНА ЦЕНА,ЕДИНЕЧНА ЦЕНА,ОПИС НА ПРОИЗВОД,ДОСТАПНОСТ НА ПРОИЗВОД,РЕДОВНА ЦЕНА,ЦЕНА СО ПОПУСТ,ПОЕНИ,ТИП НА АКЦИЈА,ВРЕМЕТРАЊЕ НА АКЦИЈА
vardar,1335 ТИТАНИА ЧЕТКА ЗА КОСА ПЛАСТ. ЗАПЦИ ТРАНСПА.,293.00,1 ПАРЧЕ =293ДЕН,ЧЕТКА ЗА КОСА,ДА,,,,,
vardar,1340 ТИТАНИА ЧЕТКА ЗА ФЕНИРАЊЕ СО ПРИРОДНИ ВЛАКНА,235.00,1 ПАРЧЕ =235ДЕН,ЧЕТКА ЗА КОСА,ДА,,,,,
vardar,150120 ГАУДА БЕЛА ДОНА ПИПЕРКА КГ,799.00,100 ГР: =6.99ДЕН,ГАУДА,ДА,,,,,
vardar,"1740 ГРЧКА САЛАТА 430 ГР.,",120.00,"100 ГР: =27,91ДЕН",СВЕЖА САЛАТА,ДА,,,,,
vardar,1813 ТИТАНИА ЧЕШЕЛ ЗА КОСА АФРО,70.00,1 ПАРЧЕ =70ДЕН,ЧЕШЕЛ,ДА,,,,,
vardar,1847 ТЕНКОМИНЕЦ 0.7ММ 1/1,15.00,1 ПАРЧЕ =15ДЕН,ТЕНКОМИНЕЦ,ДА,,,,,
vardar,1848 ТЕНКОМИНЕЦ 0.5ММ 1/1,16.00,1 ПАРЧЕ =16ДЕН,ТЕНКОМИНЕЦ,ДА,,,,,
vardar,2.СТЕГАЧИ ЗА КОСА 9 ПАРЧИЊА,102.00,1 ПАРЧЕ =102ДЕН,СТЕГАЧИ ЗА КОСА,ДА,,,,,
vardar,21266 ЛЕГО БИТКАТА НА ХОЛАНДСКАТА ЛАВА,739.00,1 ПАРЧЕ =739ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,929.00,"739.00
-20.45%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,2285 ПИЦА КАЛЦОНЕ 240ГР..,110.00,1 ПАРЧЕ =110ДЕН,ПИЦА КАЛЦОНЕ,ДА,,,,,
vardar,23508 МАСКЕНБАЛ - ЦРВЕНКАПА,1219.00,1 ПАРЧЕ =1219ДЕН,ПРОИЗВОД ЗА МАСКЕНБАЛ,ДА,,,,,
