url,photo_url,brand,title,original_price,current_price,discount
https://mobelix.com.mk/mk/proizvodi/one-plus-12-5g-12gb-ram256gb,https://mobelix.com.mk/storage/app/uploads/public/65f/2c2/278/thumb_5371_550_800_0_0_crop.png,One Plus,One Plus 12 5G 12GB RAM/256GB,"43,000.00","38,700.00 ден",-10%
https://mobelix.com.mk/mk/proizvodi/one-plus-13r-5g-12gb-ram256gb,https://mobelix.com.mk/storage/app/uploads/public/678/7bd/330/thumb_5908_550_800_0_0_crop.png,One Plus,One Plus 13R 5G 12GB RAM/256GB,,"40,000.00 ден",
https://mobelix.com.mk/mk/proizvodi/xiaomi-14-12512gb,https://mobelix.com.mk/storage/app/uploads/public/65f/01c/3a2/thumb_5357_550_800_0_0_crop.png,Xiaomi,Xiaomi 14 12/512GB,"46,100.00","44,900.00 ден",-3%
https://mobelix.com.mk/mk/proizvodi/xiaomi-14t-12512gb,https://mobelix.com.mk/storage/app/uploads/public/671/a53/894/thumb_5779_550_800_0_0_crop.png,Xiaomi,Xiaomi 14T 12/512GB,"33,800.00","27,700.00 ден",-18%
https://mobelix.com.mk/mk/proizvodi/xiaomi-14-ultra-16512gb,https://mobelix.com.mk/storage/app/uploads/public/662/69a/3c7/thumb_5436_550_800_0_0_crop.png,Xiaomi,Xiaomi 14 Ultra 16/512GB,"61,500.00","55,300.00 ден",-10%
https://mobelix.com.mk/mk/proizvodi/xiaomi-14t-pro-12512gb,https://mobelix.com.mk/storage/app/uploads/public/671/a53/bb5/thumb_5785_550_800_0_0_crop.png,Xiaomi,Xiaomi 14T Pro 12/512GB,"40,000.00","35,600.00 ден",-11%
https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a05s-464gb,https://mobelix.com.mk/storage/app/uploads/public/656/9be/73b/thumb_5165_550_800_0_0_crop.png,Samsung,Galaxy A05s 4/64GB,"9,200.00","7,500.00 ден",-18%
https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a05-464gb,https://mobelix.com.mk/storage/app/uploads/public/664/856/6e8/thumb_5471_550_800_0_0_crop.png,Samsung,Galaxy A05 4/64GB,,"6,800.00 ден",
https://mobelix.com.mk/mk/proizvodi/blackberry-porsche-design-p9981,https://mobelix.com.mk/storage/app/uploads/public/605/31a/2d7/thumb_2499_550_800_0_0_crop.jpg,Blackberry,Porsche Design P9981,,"19,000.00 ден",
https://mobelix.com.mk/mk/proizvodi/apple-iphone-13-128gb,https://mobelix.com.mk/storage/app/uploads/public/614/45b/50b/thumb_3331_550_800_0_0_crop.jpg,Apple,iPhone 13 128GB,"32,000.00","29,490.00 ден",-8%
