url,photo_url,brand,title,original_price,current_price,discount
https://mobelix.com.mk/mk/proizvodi/huawei-watch-gt-4-41mm,https://mobelix.com.mk/storage/app/uploads/public/65f/180/40e/thumb_5367_550_800_0_0_crop.png,Huawei,Watch GT 4 41mm Gold,,"13,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/huawei-watch-gt-4-46mm,https://mobelix.com.mk/storage/app/uploads/public/65f/021/fc4/thumb_5365_550_800_0_0_crop.png,Huawei,Watch GT 4 46mm Green,"14,800.00","11,700.00 ден",-21%
https://mobelix.com.mk/mk/proizvodi/apple-watch-series-10-46mm,https://mobelix.com.mk/storage/app/uploads/public/66e/0a8/349/thumb_5654_550_800_0_0_crop.png,Apple,Watch Series 10 46mm,"28,890.00","26,990.00 ден",-7%
https://mobelix.com.mk/mk/proizvodi/apple-watch-series-9-41mm,https://mobelix.com.mk/storage/app/uploads/public/650/c1a/049/thumb_5012_550_800_0_0_crop.png,Apple,Watch Series 9 41mm,"26,500.00","23,400.00 ден",-12%
https://mobelix.com.mk/mk/proizvodi/apple-watch-series-9-45mm,https://mobelix.com.mk/storage/app/uploads/public/650/c1a/30c/thumb_5024_550_800_0_0_crop.png,Apple,Watch Series 9 45mm,"27,700.00","24,590.00 ден",-11%
https://mobelix.com.mk/mk/proizvodi/apple-watch-series-10-42mm,https://mobelix.com.mk/storage/app/uploads/public/66e/0a8/0e1/thumb_5640_550_800_0_0_crop.png,Apple,Watch Series 10 42mm,"27,690.00","25,800.00 ден",-7%
https://mobelix.com.mk/mk/proizvodi/huawei-watch-gt-3,https://mobelix.com.mk/storage/app/uploads/public/647/0e8/445/thumb_4766_550_800_0_0_crop.jpg,Huawei,Watch GT 3,,"13,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/huawei-watch-gt-2-pro,https://mobelix.com.mk/storage/app/uploads/public/5f9/805/60b/thumb_2365_550_800_0_0_crop.jpg,Huawei,Watch GT 2 Pro,"15,400.00","13,500.00 ден",-12%
https://mobelix.com.mk/mk/proizvodi/apple-watch-se-2022-44mm,https://mobelix.com.mk/storage/app/uploads/public/63f/f2e/79c/thumb_4620_550_800_0_0_crop.png,Apple,Apple Watch SE 2022 44mm,,"21,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/huawei-watch-gt-3,https://mobelix.com.mk/storage/app/uploads/public/647/0e8/445/thumb_4766_550_800_0_0_crop.jpg,Huawei,Watch GT 3,,"13,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/apple-watch-se-2022-44mm,https://mobelix.com.mk/storage/app/uploads/public/63f/f2e/79c/thumb_4620_550_800_0_0_crop.png,Apple,Apple Watch SE 2022 44mm,,"21,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/apple-watch-se-2022-40mm,https://mobelix.com.mk/storage/app/uploads/public/63f/f2e/501/thumb_4615_550_800_0_0_crop.png,Apple,Apple Watch SE 2022 40mm,,"19,000.00 ден",
https://mobelix.com.mk/mk/proizvodi/zte-nubia-watch,https://mobelix.com.mk/storage/app/uploads/public/5f9/803/e06/thumb_2361_550_800_0_0_crop.png,ZTE,Nubia Watch,"16,600.00","14,100.00 ден",-15%
https://mobelix.com.mk/mk/proizvodi/xiaomi-band-5,https://mobelix.com.mk/storage/app/uploads/public/5f9/166/9e3/thumb_2312_550_800_0_0_crop.jpg,Xiaomi,Band 5,,"2,500.00 ден",
