Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
ADLT SNAPBACK CAP M,ADLT SNAPBACK CAP M RMC191,890.00ден,,Капа изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMC191_540_P_1.jpg,"['0', '0']","['navy', 'olive']",https://www.scout.mk/product/adlt-snapback-cap-m-rmc191/
Baseball Cap K 1901012,Baseball Cap K 1901012,"1,290.00ден","1,290.00ден",Капа,https://www.scout.mk/wp-content/uploads/2023/05/1901012_1274_A260-600x600.png,[],['turquoise'],https://www.scout.mk/product/baseball-cap-k-1901012/
Canyon Cap K 1911351,Canyon Cap K 1911351,"1,590.00ден",,Капа со продолжеток за заштита на вратот,https://www.scout.mk/wp-content/uploads/2023/07/1911351_1283_A265-600x600.png,['m'],['pink'],https://www.scout.mk/product/canyon-cap-k-1911351/
HIGHTON TRS M,HIGHTON TRS M RMJ216,"4,590.00ден",,"Стреч панталони, водоодбивни и брзо сушливи. УВ заштита (UPF) од 40+. Делумно еластичен струк. Со повеќе џебови меѓу кои и странични џебови со патент.",https://www.scout.mk/wp-content/uploads/2024/08/RMJ216-38032.jpg,"['36', '38']","['black', 'black']",https://www.scout.mk/product/highton-trs-m-rmj216/
HOT SHOT II,HOT SHOT II,"1,090.00ден",,"Женска детска поларна блуза, халфзип",https://www.scout.mk/wp-content/uploads/2025/02/RKA148-8P25-6-5.jpg,"['11', '11', '11', '12', '13', '13', '13', '14', '5', '5', '5', '7', '7', '9', '9', '9', '9']","['grey', 'grey', 'grey', 'navy', 'navy', 'navy', 'navy', 'pink', 'violet', 'violet', 'violet', 'violet', 'violet', 'violet', 'white', 'white', 'white']",https://www.scout.mk/product/hot-shot-ii/
Kid G Jacket 3H19925,Kid G Jacket 3H19925,"2,990.00ден",,Детски плетен флис со Knit-Tech технологија,https://www.scout.mk/wp-content/uploads/2024/04/3H19925_16CR_A.png,['140'],['pink'],https://www.scout.mk/product/kid-g-jacket-3h19925/
Kid G Jacket Fix Hood 32Z1105,Kid G Jacket Fix Hood 32Z1105,"4,590.00ден",,"Водоотпорна Јакна
Средно полнета со вештачко полнење
Водоотпорност: 10.000mm
Дишливост: 4.000mm",https://www.scout.mk/wp-content/uploads/2022/12/32Z1105_B607_A-600x600.png,"['110', '128', '140']","['orange', 'orange', 'orange']",https://www.scout.mk/product/kid-g-jacket-fix-hood-32z1105/
Kid G Jacket Fix Hood 39X7985,Kid G Jacket Fix Hood 39X7985,"3,790.00ден",,"Хардшел Јакна,
Ветроодбивна и водоотпорна јакна. Водоотпорност 10 000WP Дишливост 4 000g/m2/24h",https://www.scout.mk/wp-content/uploads/2023/04/39X7985_C602_A-600x600.png,['128'],['blue'],https://www.scout.mk/product/kid-g-jacket-fix-hood-39x7985/
Kid G Jacket Fix Hood 3A29385N,Kid G Jacket Fix Hood 3A29385N,"3,990.00ден",,"Детска Водоотпорна Софтшел Јакна
Изработена од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 3.000mm",https://www.scout.mk/wp-content/uploads/2024/02/3A29385N_L711_A-5-600x600.png,"['128', '140', '152', '164']","['blue', 'blue', 'blue', 'blue']",https://www.scout.mk/product/kid-g-jacket-fix-hood-3a29385n/
Kid G Jacket Fix Hood 3H19825,Kid G Jacket Fix Hood 3H19825,"3,490.00ден",,"Плетен Флис
Високо дишлив и топол",https://www.scout.mk/wp-content/uploads/2024/02/3H19825_08HP_A-7-600x600.png,"['110', '128', '140', '140', '152', '152', '164']","['grey', 'grey', 'grey', 'pink', 'pink', 'pink', 'pink']",https://www.scout.mk/product/kid-g-jacket-fix-hood-3h19825/
