Име,Величини,Линк до слика на продукт,Линк до продукт,Цена,Валута,Категорија
Cm098 Regular Fit Long Sleeve Blue,"L,XXL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-429.jpg,https://kosuli.mk/product/cm098-regular-fit-long-sleeve-blue/,1500,ДЕН,casa moda
Cm095 Regular Fit Long Sleeve Silver,XXL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM095.jpg,https://kosuli.mk/product/cm095-regular-fit-long-sleeve-silver/,1500,ДЕН,casa moda
Cm094 Regular Fit Long Sleeve Red/Silver,XXL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM094.jpg,https://kosuli.mk/product/cm094-regular-fit-long-sleeve-red-silver/,1500,ДЕН,casa moda
Cm091 Regular Fit Long Sleeve Blue/White,"L,XXL",https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM091.jpg,https://kosuli.mk/product/cm091-regular-fit-long-sleeve-blue-white/,1500,ДЕН,casa moda
Cm089 Regular Fit Long Sleeve Orange,"XL,XXL,4XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-474.jpg,https://kosuli.mk/product/cm089-regular-fit-long-sleeve-orange/,1500,ДЕН,casa moda
Cm088 Regular Fit Long Sleeve Red,"XL,XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-592.jpg,https://kosuli.mk/product/cm088-regular-fit-long-sleeve-red/,1500,ДЕН,casa moda
Cm087 Regular Fit Long Sleeve,XXL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM087.jpg,https://kosuli.mk/product/cm087-regular-fit-long-sleeve/,1500,ДЕН,casa moda
Cm086 Regular Fit Long Sleeve Blue,2XL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM086.jpg,https://kosuli.mk/product/cm086-regular-fit-long-sleeve-blue/,1500,ДЕН,casa moda
Cm083 Regular Fit Long Sleeve Blue,"L,XL,XXL,4XL,5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-437.jpg,https://kosuli.mk/product/cm083-regular-fit-long-sleeve-blue/,1500,ДЕН,casa moda
Cm082 Regular Fit Long Sleeve Red,"XXL,5XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-586.jpg,https://kosuli.mk/product/cm082-regular-fit-long-sleeve-red/,1500,ДЕН,casa moda
Cm081 Regular Fit Long Sleeve Blue,XXL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM081.jpg,https://kosuli.mk/product/cm081-regular-fit-long-sleeve-blue/,1500,ДЕН,casa moda
Cm065 Regular Fit Long Sleeve Blue,5XL,https://kosuli.mk/wp-content/uploads/2021/05/Artikal-CM065.jpg,https://kosuli.mk/product/cm065-regular-fit-long-sleeve-blue/,1500,ДЕН,casa moda
Cm055 Regular Fit Long Sleeve Red,"L,XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-343.jpg,https://kosuli.mk/product/cm055-regular-fit-long-sleeve-red/,1500,ДЕН,casa moda
Cm054 Regular Fit Long Sleeve Pink\Len,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-378.jpg,https://kosuli.mk/product/cm054-regular-fit-long-sleeve-pinklen/,1500,ДЕН,casa moda
