Име,Величини,Линк до слика на продукт,Линк до продукт,Цена,Валута
Ffm010 Modern Fit Short Sleeve,"['L', 'XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-319.jpg,https://kosuli.mk/product/ffm010-modern-fit-short-sleeve/,1500,ДЕН
Ffm009 Modern Fit Short Sleeve,['XXL'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-312.jpg,https://kosuli.mk/product/ffm009-modern-fit-short-sleeve/,1500,ДЕН
Ffm008 Modern Fit Short Sleeve,"['XXL', '4XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-291.jpg,https://kosuli.mk/product/ffm008-modern-fit-short-sleeve/,1500,ДЕН
Ffm007 Modern Fit Short Sleeve,"['M', 'L', 'XL', 'XXL', '5XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-331.jpg,https://kosuli.mk/product/ffm007-modern-fit-short-sleeve/,1500,ДЕН
Ffm006 Modern Fit Short Sleeve,"['XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-337.jpg,https://kosuli.mk/product/ffm006-modern-fit-short-sleeve/,1500,ДЕН
Ffm005 Modern Fit Short Sleeve,"['M', 'L', 'XL', 'XXL', '3XL', '4XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-339.jpg,https://kosuli.mk/product/ffm005-modern-fit-short-sleeve/,1500,ДЕН
Ffm004 Modern Fit Short Sleeve,['XXL'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-293.jpg,https://kosuli.mk/product/ffm004-modern-fit-short-sleeve/,1500,ДЕН
Ffm003 Modern Fit Short Sleeve,"['L', 'XXL', 'XL', '4XL', '5XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-322.jpg,https://kosuli.mk/product/ffm003-modern-fit-short-sleeve/,1500,ДЕН
Ffm002 Modern Fit Short Sleeve,"['M', 'XXL', '4XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-306.jpg,https://kosuli.mk/product/ffm002-modern-fit-short-sleeve/,1500,ДЕН
Ffm001 Modern Fit Short Sleeve,['XXL'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-300.jpg,https://kosuli.mk/product/ffm001-modern-fit-short-sleeve/,1500,ДЕН
