Име,Величини,Линк до слика на продукт,Линк до продукт,Цена,Валута
Ve033 Slim Fit Long Sleeve Silver,"['M', 'L', 'XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-485-1.jpg,https://kosuli.mk/product/ve033-slim-fit-long-sleeve-silver/,1500,ДЕН
Ve040 Slim Fit Long Sleeve Blue\White,['L'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-522.jpg,https://kosuli.mk/product/ve040-slim-fit-long-sleeve-bluewhite/,1500,ДЕН
Ve038 Slim Fit Long Sleeve Blue\Line,['L'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-501.jpg,https://kosuli.mk/product/ve038-slim-fit-long-sleeve-blueline/,1500,ДЕН
Ve036 Slim Fit Long Sleeve White,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-537.jpg,https://kosuli.mk/product/ve036-slim-fit-long-sleeve-white/,1500,ДЕН
Ve026 Slim Fit Long Sleeve Brown,['L'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-557.jpg,https://kosuli.mk/product/ve026-slim-fit-long-sleeve-brown/,1500,ДЕН
Ve035 Slim Fit Long Sleeve Silver,"['M', 'L']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-498.jpg,https://kosuli.mk/product/ve035-slim-fit-long-sleeve-silver/,1500,ДЕН
Ve044 Slim Fit Long Sleeve Blue,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-505.jpg,https://kosuli.mk/product/ve044-slim-fit-long-sleeve-blue/,1500,ДЕН
Ve025 Slim Fit Long Sleeve Blue\Line,['НЕМА ДОСТАПНА ВЕЛЧИНА'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-549.jpg,https://kosuli.mk/product/ve025-slim-fit-long-sleeve-blueline/,1500,ДЕН
Ve041 Slim Fit Long Sleeve Red\White,"['M', 'L', 'XL', 'XXL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-563.jpg,https://kosuli.mk/product/ve041-slim-fit-long-sleeve-redwhite/,1500,ДЕН
Ve034 Slim Fit Long Sleeve Blue,['L'],https://kosuli.mk/wp-content/uploads/2021/05/WEB-523.jpg,https://kosuli.mk/product/ve034-slim-fit-long-sleeve-blue/,1500,ДЕН
Ve023 Slim Fit Long Sleeve White/Blue Print,"['M', 'L', 'XL']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-551.jpg,https://kosuli.mk/product/ve023-slim-fit-long-sleeve-white-blue-print/,1200,ДЕН
Ve042 Slim Fit Long Sleeve Pink\Line,"['42', '44']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-577.jpg,https://kosuli.mk/product/ve042-slim-fit-long-sleeve-pinkline/,1500,ДЕН
Ve039 Slim Fit Long Sleeve Brown,"['40', '44']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-532.jpg,https://kosuli.mk/product/ve039-slim-fit-long-sleeve-brown/,1500,ДЕН
Ve043 Slim Fit Long Sleeve Blue\Line,"['40', '42', '44']",https://kosuli.mk/wp-content/uploads/2021/05/WEB-541.jpg,https://kosuli.mk/product/ve043-slim-fit-long-sleeve-blueline/,1500,ДЕН
