Име,Опис,Линк до слика на продукт,Линк до продукт,Цена,Намалена цена,Валута,Достапни величини,Достапни бои
ADLT SNAPBACK CAP M,Капа изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMC191_540_P_1.jpg,https://www.scout.mk/product/adlt-snapback-cap-m-rmc191/,890,890,МКД,['0'],"['navy', 'olive']"
Baseball Cap K 1901012,Капа,https://www.scout.mk/wp-content/uploads/2023/05/1901012_1274_A260-600x600.png,https://www.scout.mk/product/baseball-cap-k-1901012/,1290,1290,МКД,[],['turquoise']
Canyon Cap K 1911351,Капа со продолжеток за заштита на вратот,https://www.scout.mk/wp-content/uploads/2023/07/1911351_1283_A265-600x600.png,https://www.scout.mk/product/canyon-cap-k-1911351/,1590,1590,МКД,['m'],['pink']
HIGHTON TRS M,"Стреч панталони, водоодбивни и брзо сушливи. УВ заштита (UPF) од 40+. Делумно еластичен струк. Со повеќе џебови меѓу кои и странични џебови со патент.",https://www.scout.mk/wp-content/uploads/2024/08/RMJ216-38032.jpg,https://www.scout.mk/product/highton-trs-m-rmj216/,4590,4590,МКД,"['36', '38']",['black']
HOT SHOT II,"Женска детска поларна блуза, халфзип",https://www.scout.mk/wp-content/uploads/2025/02/RKA148-8P25-6-5.jpg,https://www.scout.mk/product/hot-shot-ii/,1090,1090,МКД,"['11', '12', '13', '14', '5', '7', '9']","['grey', 'navy', 'pink', 'violet', 'white']"
Kid G Jacket 3H19925,Детски плетен флис со Knit-Tech технологија,https://www.scout.mk/wp-content/uploads/2024/04/3H19925_16CR_A.png,https://www.scout.mk/product/kid-g-jacket-3h19925/,2990,2990,МКД,['140'],['pink']
Kid G Jacket Fix Hood 32Z1105,"Водоотпорна Јакна
Средно полнета со вештачко полнење
Водоотпорност: 10.000mm
Дишливост: 4.000mm",https://www.scout.mk/wp-content/uploads/2022/12/32Z1105_B607_A-600x600.png,https://www.scout.mk/product/kid-g-jacket-fix-hood-32z1105/,4590,4590,МКД,"['110', '128', '140']",['orange']
Kid G Jacket Fix Hood 39X7985,"Хардшел Јакна,
Ветроодбивна и водоотпорна јакна. Водоотпорност 10 000WP Дишливост 4 000g/m2/24h",https://www.scout.mk/wp-content/uploads/2023/04/39X7985_C602_A-600x600.png,https://www.scout.mk/product/kid-g-jacket-fix-hood-39x7985/,3790,3790,МКД,['128'],['blue']
Kid G Jacket Fix Hood 3A29385N,"Детска Водоотпорна Софтшел Јакна
Изработена од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 3.000mm",https://www.scout.mk/wp-content/uploads/2024/02/3A29385N_L711_A-5-600x600.png,https://www.scout.mk/product/kid-g-jacket-fix-hood-3a29385n/,3990,3990,МКД,"['128', '140', '152', '164']",['blue']
Kid G Jacket Fix Hood 3H19825,"Плетен Флис
Високо дишлив и топол",https://www.scout.mk/wp-content/uploads/2024/02/3H19825_08HP_A-7-600x600.png,https://www.scout.mk/product/kid-g-jacket-fix-hood-3h19825/,3490,3490,МКД,"['110', '128', '140', '152', '164']","['grey', 'pink']"
KID G JACKET RAIN FIX HOOD,Детска водоотпорна и ветеротпорна јакна со ластик на ракавите,https://www.scout.mk/wp-content/uploads/2025/02/31X7295-4.jpg,https://www.scout.mk/product/kid-g-jacket-rain-fix-hood/,1323,1890,МКД,"['116', '128', '152']","['pink', 'red']"
KID G JACKET RAIN FIX HOOD 31X7295,Детска кабаница со капуљача,https://www.scout.mk/wp-content/uploads/2023/11/31X7295_09YN_A-600x600.png,https://www.scout.mk/product/kid-g-jacket-rain-fix-hood-31x7295/,1890,1890,МКД,"['128', '140']","['blue', 'pink']"
Kid G Sweat 3G28235,Детски флис од рециклиран материјал,https://www.scout.mk/wp-content/uploads/2024/02/3G28235_B634_A-7-600x600.png,https://www.scout.mk/product/kid-g-sweat-3g28235/,1490,1490,МКД,"['110', '116', '128', '140', '152', '164']","['blue', 'pink']"
Kid G T-Shirt 38T6385,"Техничка Маица
Лесна, изработена од полиестер, со технологија против мирис од потење, со УВ 40",https://www.scout.mk/wp-content/uploads/2024/04/38T6385_L808_A-1.png,https://www.scout.mk/product/kid-g-t-shirt-38t6385-2/,890,890,МКД,"['104', '164', '98']","['blue', 'pink']"
Kid G Zip Off Pant 3T51445,"2во1 Панталони (Зип-Оф), четиринасочно растегливи, со патент се претвораат во бермуди",https://www.scout.mk/wp-content/uploads/2023/04/3T51445_02UN_A-600x600.png,https://www.scout.mk/product/kid-g-zip-off-pant-3t51445/,3990,3990,МКД,"['104', '110', '140']",['grey']
Kid Jacket 31H5014,Детски плетен флис со капуљача,https://www.scout.mk/wp-content/uploads/2024/04/31H5014_22LR_A-10.png,https://www.scout.mk/product/kid-jacket-31h5014/,2990,2990,МКД,"['128', '164']",['blue']
Kid Jacket Fix Hood 39X7984,"Хардшел Јакна,
Ветроодбивна и водоотпорна јакна. Водоотпорност 10 000WP Дишливост 4 000g/m2/24h",https://www.scout.mk/wp-content/uploads/2023/04/39X7984_E606_A-600x600.png,https://www.scout.mk/product/kid-jacket-fix-hood-39x7984/,3790,3790,МКД,"['116', '128']","['blue', 'green']"
Kid Jacket Fix Hood 3H60844,"Плетен Флис
Високо дишлив и топол",https://www.scout.mk/wp-content/uploads/2024/02/3H60844_09EP_A-6-600x600.png,https://www.scout.mk/product/kid-jacket-fix-hood-3h60844/,3490,3490,МКД,"['110', '116', '128', '140', '152', '164']","['blue', 'lime']"
KID JACKET RAIN FIX HOOD,Детска водоотпорна и ветеротпорна јакна со прилагодливи ракави,https://www.scout.mk/wp-content/uploads/2025/02/31X7295_09YN_A-3.png,https://www.scout.mk/product/kid-jacket-rain-fix-hood/,1890,1890,МКД,"['128', '140', '152']",['blue']
KID JACKET RAIN FIX HOOD 32X5804,Детска кабаница со капуљача,https://www.scout.mk/wp-content/uploads/2023/11/32X5804_M879_A-600x600.png,https://www.scout.mk/product/kid-jacket-rain-fix-hood-32x5804/,2790,2790,МКД,['140'],['blue']
KID LONG PANT,"Детски спортски панталони
Водоотпорни и ветероотпорни",https://www.scout.mk/wp-content/uploads/2025/02/3A01484.jpg,https://www.scout.mk/product/kid-long-pant/,3090,3090,МКД,"['104', '110', '116', '128', '140', '152']",['grey']
