Име,Опис,Линк до слика на продукт,Линк до продукт,Цена,Намалена цена,Валута,Достапни величини,Достапни бои
1960 Logo T-shirt F87313,Лесна маичка изработена од органски памук и рециклиран полиестер.,https://www.scout.mk/wp-content/uploads/2024/03/1960_Logo_T-shirt_M_87313-113_A_MAIN_FJR-3-600x600.png,https://www.scout.mk/product/1960-logo-t-shirt-f87313/,3090,3090,МКД,"['m', 's']",['green']
Abisko Lite Fleece Half Zip F87113,Лесен и удобен флис со полупатент.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Fleece_Half_Zip_M_87113-207_A_MAIN_FJR-6-600x600.png,https://www.scout.mk/product/abisko-lite-fleece-half-zip-f87113/,6790,6790,МКД,"['l', 'm', 's', 'xl']","['green', 'navy', 'orange']"
Abisko Lite Fleece Jacket F86971,"Лесен флис што се пакува, совршен за еднодневни патувања.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Fleece_M_86971-207_A_MAIN_FJR-4-600x600.png,https://www.scout.mk/product/abisko-lite-fleece-jacket-f86971/,9290,9290,МКД,"['l', 'm', 'xl']","['green', 'navy']"
Abisko Lite Trekking Trousers F82890R,"Лесни, дишливи панталони со патент од растеглива ткаенина и G-1000 Lite за пешачење во топла клима. Технички крој, големи џебови и завршетоци на ногавиците со куќи за чевли и прилагодувања на ременот.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Trekking_Trs_M_Reg_82890R-030_A_MAIN_FJR-12-600x600.png,https://www.scout.mk/product/abisko-lite-trekking-trousers-f82890r/,12390,12390,МКД,['56'],['grey']
Abisko Lite Trekking Zip-off F81535,"Лесни, дишливи панталони со патент од растеглива ткаенина и G-1000 Lite за пешачење во топла клима. Технички крој, големи џебови и завршетоци на ногавиците со куќи за чевли и прилагодувања на ременот.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Trekking_Zip-off_M_Long_81535-534-543_A_MAIN_FJR-7-600x600.png,https://www.scout.mk/product/abisko-lite-trekking-zip-off-f81535/,13690,13690,МКД,"['50', '52', '54']",['navy']
Abisko Midsummer Jkt F81151,"Лесна, дишлива јакна што може да се пакува, совршена за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Jacket_M_81151-235-622_A_MAIN_FJR-6-600x600.png,https://www.scout.mk/product/abisko-midsummer-jkt-f81151/,14490,14490,МКД,"['l', 'm', 'xl', 'xxl']","['brown', 'navy']"
Abisko Midsummer Shorts F81153,"Лесни, дишливи кратки панталони што може да се пакуваат, совршени за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Shorts_M_81153-030-550_A_MAIN_FJR-8-600x600.png,https://www.scout.mk/product/abisko-midsummer-shorts-f81153/,8190,8190,МКД,"['50', '54', '56']",['grey']
Abisko Midsummer Trs F81152R,"Лесни, дишливи панталони што може да се пакуваат, совршени за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Trs_M_Reg_81152R-030-550_A_MAIN_FJR-10-600x600.png,https://www.scout.mk/product/abisko-midsummer-trs-f81152r/,11990,11990,МКД,"['46', '48', '50', '54', '56']","['grey', 'navy']"
Abisko Trail Fleece F82257,Лесен и удобен флис со капуљача што комбинира две различни полиестерски ткаенини (и нови и рециклирани). Еден џеб на градите и два рачни џебови.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Trail_Fleece_M_82257-534-555_A_MAIN_FJR-8-600x600.png,https://www.scout.mk/product/abisko-trail-fleece-f82257/,9890,9890,МКД,"['l', 'm', 'xl']","['green', 'navy']"
Abisko Wool Logo SS F86977,"Лесна, удобна маичка изработена од мешавина на мерино волна/полиестер за топла и ладна клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Wool_Logo_T-Shirt_M_86977-614_A_MAIN_FJR-6-600x600.png,https://www.scout.mk/product/abisko-wool-logo-ss-f86977/,4690,4690,МКД,['l'],['green']
