Name,Price,Sizes,Image_URL,Product_URL
VE033 SLIM FIT LONG SLEEVE SILVER,1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-485-1.jpg,https://kosuli.mk/product/ve033-slim-fit-long-sleeve-silver/
VE040 SLIM FIT LONG SLEEVE BLUE\WHITE,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-522.jpg,https://kosuli.mk/product/ve040-slim-fit-long-sleeve-bluewhite/
VE038 SLIM FIT LONG SLEEVE BLUE\LINE,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-501.jpg,https://kosuli.mk/product/ve038-slim-fit-long-sleeve-blueline/
VE036 SLIM FIT LONG SLEEVE WHITE,1500 ДЕН,,https://kosuli.mk/wp-content/uploads/2021/05/WEB-537.jpg,https://kosuli.mk/product/ve036-slim-fit-long-sleeve-white/
VE026 SLIM FIT LONG SLEEVE BROWN,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-557.jpg,https://kosuli.mk/product/ve026-slim-fit-long-sleeve-brown/
VE035 SLIM FIT LONG SLEEVE SILVER,1500 ДЕН,"M, L",https://kosuli.mk/wp-content/uploads/2021/05/WEB-498.jpg,https://kosuli.mk/product/ve035-slim-fit-long-sleeve-silver/
VE044 SLIM FIT LONG SLEEVE BLUE,1500 ДЕН,,https://kosuli.mk/wp-content/uploads/2021/05/WEB-505.jpg,https://kosuli.mk/product/ve044-slim-fit-long-sleeve-blue/
VE025 SLIM FIT LONG SLEEVE BLUE\LINE,1500 ДЕН,,https://kosuli.mk/wp-content/uploads/2021/05/WEB-549.jpg,https://kosuli.mk/product/ve025-slim-fit-long-sleeve-blueline/
VE041 SLIM FIT LONG SLEEVE RED\WHITE,1500 ДЕН,"M, L, XL, XXL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-563.jpg,https://kosuli.mk/product/ve041-slim-fit-long-sleeve-redwhite/
VE034 SLIM FIT LONG SLEEVE BLUE,1500 ДЕН,L,https://kosuli.mk/wp-content/uploads/2021/05/WEB-523.jpg,https://kosuli.mk/product/ve034-slim-fit-long-sleeve-blue/
VE023 SLIM FIT LONG SLEEVE WHITE/BLUE PRINT,1200 ДЕН – 1500 ДЕН,"M, L, XL",https://kosuli.mk/wp-content/uploads/2021/05/WEB-551.jpg,https://kosuli.mk/product/ve023-slim-fit-long-sleeve-white-blue-print/
VE042 SLIM FIT LONG SLEEVE PINK\LINE,1500 ДЕН,"42, 44",https://kosuli.mk/wp-content/uploads/2021/05/WEB-577.jpg,https://kosuli.mk/product/ve042-slim-fit-long-sleeve-pinkline/
VE039 SLIM FIT LONG SLEEVE BROWN,1500 ДЕН,"40, 44",https://kosuli.mk/wp-content/uploads/2021/05/WEB-532.jpg,https://kosuli.mk/product/ve039-slim-fit-long-sleeve-brown/
VE043 SLIM FIT LONG SLEEVE BLUE\LINE,1500 ДЕН,"40, 42, 44",https://kosuli.mk/wp-content/uploads/2021/05/WEB-541.jpg,https://kosuli.mk/product/ve043-slim-fit-long-sleeve-blueline/
