Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
1960 Logo T-shirt F87313,1960 Logo T-shirt F87313,"3,090.00ден",,Лесна маичка изработена од органски памук и рециклиран полиестер.,https://www.scout.mk/wp-content/uploads/2024/03/1960_Logo_T-shirt_M_87313-113_A_MAIN_FJR-3-600x600.png,"['m', 's']","['green', 'green']",https://www.scout.mk/product/1960-logo-t-shirt-f87313/
Abisko Hike Shirt LS F82263,Abisko Hike Shirt LS F82263,,,"Лесна трекинг кошула со долги ракави изработена од ткаенина што ја отстранува влагата од кожата. Вентилација, џеб на градите со патент и копчиња на ракавите.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Hike_Shirt_LS_M_82263-196_A_MAIN_FJR-4-600x600.png,[],[],https://www.scout.mk/product/abisko-hike-shirt-ls-f82263/
Abisko Lite Fleece Half Zip F87113,Abisko Lite Fleece Half Zip F87113,"6,790.00ден",,Лесен и удобен флис со полупатент.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Fleece_Half_Zip_M_87113-207_A_MAIN_FJR-6-600x600.png,"['l', 'm', 'm', 'm', 's', 'xl']","['green', 'green', 'navy', 'orange', 'orange', 'orange']",https://www.scout.mk/product/abisko-lite-fleece-half-zip-f87113/
Abisko Lite Fleece Jacket F86971,Abisko Lite Fleece Jacket F86971,"9,290.00ден",,"Лесен флис што се пакува, совршен за еднодневни патувања.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Fleece_M_86971-207_A_MAIN_FJR-4-600x600.png,"['l', 'm', 'xl', 'xl']","['green', 'green', 'navy', 'navy']",https://www.scout.mk/product/abisko-lite-fleece-jacket-f86971/
Abisko Lite Trekking Trousers F82890R,Abisko Lite Trekking Trousers F82890R,"12,390.00ден",,"Лесни, дишливи панталони со патент од растеглива ткаенина и G-1000 Lite за пешачење во топла клима. Технички крој, големи џебови и завршетоци на ногавиците со куќи за чевли и прилагодувања на ременот.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Trekking_Trs_M_Reg_82890R-030_A_MAIN_FJR-12-600x600.png,['56'],['grey'],https://www.scout.mk/product/abisko-lite-trekking-trousers-f82890r/
Abisko Lite Trekking Zip-off F81535,Abisko Lite Trekking Zip-off F81535,"13,690.00ден",,"Лесни, дишливи панталони со патент од растеглива ткаенина и G-1000 Lite за пешачење во топла клима. Технички крој, големи џебови и завршетоци на ногавиците со куќи за чевли и прилагодувања на ременот.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Trekking_Zip-off_M_Long_81535-534-543_A_MAIN_FJR-7-600x600.png,"['50', '52', '54']","['navy', 'navy', 'navy']",https://www.scout.mk/product/abisko-lite-trekking-zip-off-f81535/
Abisko Midsummer Jkt F81151,Abisko Midsummer Jkt F81151,"14,490.00ден",,"Лесна, дишлива јакна што може да се пакува, совршена за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Jacket_M_81151-235-622_A_MAIN_FJR-6-600x600.png,"['l', 'm', 'xl', 'xxl']","['brown', 'navy', 'navy', 'navy']",https://www.scout.mk/product/abisko-midsummer-jkt-f81151/
Abisko Midsummer Shorts F81153,Abisko Midsummer Shorts F81153,"8,190.00ден",,"Лесни, дишливи кратки панталони што може да се пакуваат, совршени за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Shorts_M_81153-030-550_A_MAIN_FJR-8-600x600.png,"['50', '54', '56']","['grey', 'grey', 'grey']",https://www.scout.mk/product/abisko-midsummer-shorts-f81153/
Abisko Midsummer Trs F81152R,Abisko Midsummer Trs F81152R,"11,990.00ден",,"Лесни, дишливи панталони што може да се пакуваат, совршени за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Trs_M_Reg_81152R-030-550_A_MAIN_FJR-10-600x600.png,"['46', '48', '48', '50', '50', '54', '54', '56']","['grey', 'grey', 'grey', 'grey', 'navy', 'navy', 'navy', 'navy']",https://www.scout.mk/product/abisko-midsummer-trs-f81152r/
Abisko Trail Fleece F82257,Abisko Trail Fleece F82257,"9,890.00ден",,Лесен и удобен флис со капуљача што комбинира две различни полиестерски ткаенини (и нови и рециклирани). Еден џеб на градите и два рачни џебови.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Trail_Fleece_M_82257-534-555_A_MAIN_FJR-8-600x600.png,"['l', 'l', 'm', 'xl']","['green', 'green', 'green', 'navy']",https://www.scout.mk/product/abisko-trail-fleece-f82257/
Abisko Wool Logo SS F86977,Abisko Wool Logo SS F86977,"4,690.00ден",,"Лесна, удобна маичка изработена од мешавина на мерино волна/полиестер за топла и ладна клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Wool_Logo_T-Shirt_M_86977-614_A_MAIN_FJR-6-600x600.png,['l'],['green'],https://www.scout.mk/product/abisko-wool-logo-ss-f86977/
ACCELERATE M,ACCELERATE M DMT722,"1,690.00ден",,"Функционална Маица
Изработена од многу лесен и растеглив материал",https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-DMT722_800_P_2.jpg,"['l', 'l', 'm', 'm', 's', 'xl']","['black', 'black', 'black', 'black', 'olive', 'olive']",https://www.scout.mk/product/accelerate-m-dmt722/
Aconcagua Light ML Jacket Men 1014-04270,Aconcagua Light ML Jacket Men 1014-04270,"8,290.00ден","8,290.00ден","Флис
Изработен од стреч материјал со лесна до средна топлотна изолацијаДишлив и отпорен на триење",https://www.scout.mk/wp-content/uploads/2023/12/1014-04270-5118-600x600.jpg,['m'],['navy'],https://www.scout.mk/product/aconcagua-light-ml-jacket-men-1014-04270/
ACTIVATE THERMIC PANTS M A61881,ACTIVATE THERMIC PANTS M A61881,,,Софтшел водоотпорни и ветеротпорни панталони,https://www.scout.mk/wp-content/uploads/2024/11/A61881-6000-600x865.jpg,[],[],https://www.scout.mk/product/activate-thermic-pants-m-a61881/
ACTIVATE XT PANTS M,1503755-101054,"7,390.00ден","7,390.00ден",Машки стреч панталони,https://www.scout.mk/wp-content/uploads/2025/02/1503755-101054.jpg,[],"['black', 'navy']",https://www.scout.mk/product/activate-xt-pants-m/
ACTIVATE XT PANTS M 1503755,ACTIVATE XT PANTS M 1503755,,,"Софтшел водоотпорни и ветеротпорни панталони, еластични и дишливи",https://www.scout.mk/wp-content/uploads/2024/11/1503755-1010-600x865.jpg,[],[],https://www.scout.mk/product/activate-xt-pants-m-1503755/
Active Track Pant M 1508251,Active Track Pant M 1508251,"6,190.00ден","6,190.00ден","Софтшел Панталони
Ветероотпорни, водоодбивни и стреч
Изработени од лесен и дишлив стреч материјал, двонасочно растеглив со УВ заштита",https://www.scout.mk/wp-content/uploads/2023/07/1508251_1274_A160-600x600.png,"['46', '48', '50', '50', '54', '54', '56']","['grey', 'grey', 'grey', 'grey', 'grey', 'navy', 'navy']",https://www.scout.mk/product/active-track-pant-m-1508251/
Active Track Zip Off M 1508241,Active Track Zip Off M 1508241,"7,790.00ден",,"Софтшел Панталони/Кратки Панталони
Ветероотпорни, водоодбивни и стреч
Изработени од лесен и дишлив стреч материјал, двонасочно растеглив со УВ заштита
Вклучуваат и патент за отстранување на ногавиците, со што добивате кратки панталони",https://www.scout.mk/wp-content/uploads/2023/07/1508241_1274_A160-600x600.png,"['46', '48', '50']","['navy', 'navy', 'navy']",https://www.scout.mk/product/active-track-zip-off-m-1508241/
Aegility Half Zip Longsleeve Men 1016-00730,Aegility Half Zip Longsleeve Men 1016-00730,"5,190.00ден","5,190.00ден","Функционална Маица на долги ракави со полу патент
Изработена од многу лесен и растеглив материјал, со антимикробен третман кој не развива миризба при потење",https://www.scout.mk/wp-content/uploads/2022/12/1016-00730-3716_main-600x600.png,['xl'],['lime'],https://www.scout.mk/product/aegility-half-zip-longsleeve-men-1016-00730/
All Outdr Pt M MIV8559,All Outdr Pt M MIV8559,"8,990.00ден","8,990.00ден","Панталони погодни за различни аутдор активности, Дишливи,ветроодбивни од растеглив материјал",https://www.scout.mk/wp-content/uploads/2022/10/miv8559-0247-600x600.jpg,"['40', '42']","['black', 'black']",https://www.scout.mk/product/all-outdr-pt-m-miv8559/
All Xcs200 P M MIV9872,All Xcs200 P M MIV9872,,,"Панталони погодни за различни аутдор активности, Дишливи,ветроодбивни од растеглив материјал на 2 страни",https://www.scout.mk/wp-content/uploads/2023/12/MIV9872-9573-600x600.png,[],[],https://www.scout.mk/product/all-xcs200-p-m-miv9872/
Altenberg 3In1 Jkt M 1115301,Altenberg 3In1 Jkt M 1115301,"14,790.00ден","14,790.00ден","Јакна 3во1
Составена од многу робусен и водоотпорен Хардшел со целосно залепени шавови
Водоотпорност: 10.000mm
Дишливост: 6.000 g/m²/24h
Внатрешен топол и дишлив флис",https://www.scout.mk/wp-content/uploads/2022/10/1115301_1010_A020-600x600.png,['xxl'],['grey'],https://www.scout.mk/product/altenberg-3in1-jkt-m-1115301/
ANDRESON VIII HYBRD,ANDRESON VIII HYBRD,"4,590.00ден",,Машка хибридна јакна,https://www.scout.mk/wp-content/uploads/2025/02/Web-version-RMN158_FGK_P_A.jpg,"['l', 'l', 'l', 'l', 'm', 'm', 'm', 'xl', 'xl', 'xl', 'xl', 'xxl']","['black', 'black', 'black', 'green', 'green', 'green', 'sky', 'sky', 'sky', 'sky', 'stilston', 'stilston']",https://www.scout.mk/product/andreson-viii-hybrd/
Arctic Fox T-Shirt F87220,Arctic Fox T-Shirt F87220,,,Маица од органски памук со печатена арктичка лисица на предната страна.,https://www.scout.mk/wp-content/uploads/2024/03/Arctic_Fox_T-Shirt_M_87220-113_A_MAIN_FJR-2-600x600.png,['m'],['orange'],https://www.scout.mk/product/arctic-fox-t-shirt-f87220/
AREC III M,Arec III M RML218,"4,590.00ден",,"Софтшел Jакна
Водоодбивна и ветероотпорна
Изработена од многу дишлив и стреч материјал",https://www.scout.mk/wp-content/uploads/2023/12/RML218_A1Y_P_1-600x600.jpg,"['l', 'l', 'l', 'm', 'm', 'm', 'xl', 'xl', 'xxl', 'xxl', 'xxl', 'xxxl']","['black', 'black', 'gray', 'gray', 'gray', 'gray', 'navy', 'navy', 'navy', 'navy', 'sky', 'sky']",https://www.scout.mk/product/arec-iii-m-rml218/
ASHTON,ASHTON,,,"Материјал: Микро Флис
Карактеристики:
TOUCH-TEC
Силиконски грип",https://www.scout.mk/wp-content/uploads/2022/12/4705168-700-600x600.jpg,[],[],https://www.scout.mk/product/ashton/
Auster Short M P78,Auster Short M P78,"3,690.00ден",,"Минимален дизајн за максимална слобода на движење со внатрешна мрежа за поддршка и удобност за време на активноста, рефлектирачки детали",https://www.scout.mk/wp-content/uploads/2024/03/P78639634-600x600.jpg,"['l', 'm', 'xl']","['gray', 'gray', 'gray']",https://www.scout.mk/product/auster-short-m-p78/
Baiselberg Hooded Fz M 1710541,Baiselberg Hooded Fz M 1710541,"5,990.00ден","5,990.00ден","Флис
Високо дишлив и топол полар",https://www.scout.mk/wp-content/uploads/2023/05/1710541_1284_A030-600x600.png,"['m', 's']","['blue', 'blue']",https://www.scout.mk/product/baiselberg-hooded-fz-m-1710541/
BASLINN M,Baslinn M RMA579,"4,590.00ден",,Флис,https://www.scout.mk/wp-content/uploads/2024/12/RMA579-00D-3.jpg,"['l', 'l', 'm', 'm', 'xl', 'xxl']","['navy', 'navy', 'navy', 'orange', 'orange', 'orange']",https://www.scout.mk/product/baslinn-m-rma579/
BERGBLICK T M,A60070-6000S,"2,790.00ден","2,790.00ден",Машка памучна маица,https://www.scout.mk/wp-content/uploads/2025/02/A60070.jpg,['m'],['navy'],https://www.scout.mk/product/bergblick-t-m/
BERGBLICK T M A60070,BERGBLICK T M A60070,"2,790.00ден",,Маичка од органски памук,https://www.scout.mk/wp-content/uploads/woocommerce-placeholder.png,"['l', 'xl']","['black', 'black']",https://www.scout.mk/product/bergblick-t-m-a60070/
BIRCHDALE M,Не е достапно,"7,390.00ден",,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 10.000 mm
Дишливост: 10.000 > g/m²/24h
Непоставена",https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMW279_92B_P_A.jpg,"['l', 'l', 'l', 'l', 'm', 'm', 'xl', 'xl', 'xl', 'xl', 'xxl', 'xxl', 'xxl', 'xxl']","['black', 'black', 'black', 'black', 'blue', 'blue', 'blue', 'navy', 'navy', 'navy', 'navy', 'red', 'red', 'turquoise']",https://www.scout.mk/product/birchdale-m-rmw279-2/
Bornberg Hoody M 1307471,Bornberg Hoody M 1307471,"7,990.00ден","7,990.00ден","Софтшел Јакна со капуљача
Водоодбивна и ветероодбивна
Изработена од средно дебел софтшел материјал",https://www.scout.mk/wp-content/uploads/2023/05/1307471_1010_A030.tif-600x600.png,"['l', 'm', 'm']","['green', 'green', 'navy']",https://www.scout.mk/product/bornberg-hoody-m-1307471/
BRADWELL III B/W,BRADWELL III B/W,"3,090.00ден","3,090.00ден",Машки поларен елек,https://www.scout.mk/wp-content/uploads/2025/02/RMB094_800_P_1-4-600x600.jpg,"['l', 'l', 'm', 'm', 's', 'xl', 'xxl']","['black', 'black', 'navy', 'navy', 'navy', 'navy', 'navy']",https://www.scout.mk/product/bradwell-iii-b-w/
BREEZED IV M,BREEZED IV M RMT291,"1,590.00ден",,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMT291_61I_P_1.jpg,"['l', 'l', 'm', 'xl', 'xl', 'xxl']","['grey', 'grey', 'grey', 'orange', 'orange', 'orange']",https://www.scout.mk/product/breezed-iv-m-rmt291/
CARLIE W,CARLIE W RWT198,"1,390.00ден",,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RWT198_258_P_1.jpg,"['10', '10', '10', '12', '12', '14', '14', '16', '16', '18']","['navy', 'navy', 'navy', 'navy', 'navy', 'navy', 'navy', 'navy', 'navy', 'turquoise']",https://www.scout.mk/product/carlie-w-rwt198/
CERA V M,CERA V M RML210,"3,690.00ден","3,690.00ден","Софтшел Jакна.
Водоодбивна и ветероотпорна.
Изработена од многу дишлив и стреч материјал",https://www.scout.mk/wp-content/uploads/2024/08/RML210-4VK-M-600x600.jpg,"['l', 'l', 'l', 'm', 'm', 'm', 's', 'xl', 'xl', 'xl', 'xxl', 'xxl', 'xxxl']","['black', 'black', 'black', 'black', 'black', 'black', 'grey', 'grey', 'grey', 'grey', 'navy', 'navy', 'navy']",https://www.scout.mk/product/cera-v-m-rml210/
CHASKA SHORT II W,CHASKA SHORT II W RWJ226,"2,790.00ден",,"Лесни шорцеви отпорни на дожд за пешачење, планинарење и патување при топло време. Направено од материјал отпорен на гужвање со DWR (издржлив водоодбивен) завршеток за спречување на врнежи од дожд. Делумно еластичниот струк, џебови напред и назад.",https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RWJ226_038_P_1.jpg,"['10', '12', '14', '16']","['grey', 'grey', 'grey', 'grey']",https://www.scout.mk/product/chaska-short-ii-w-rwj226/
CHILL JACKET 2.0,CHILL JACKET 2.0 53677_990,"19,690.00ден","19,690.00ден",Јакна со Helly Tech™ водоотпорна технологија и дишечка мембранапогодна за студено и врнежливо време,https://www.scout.mk/wp-content/uploads/2023/12/53677-990-600x600.jpg,"['l', 'xxl']","['black', 'black']",https://www.scout.mk/product/chill-jacket-2-0-53677_990/
Climbing Socks 29R,Climbing Socks 29R,990.00ден,990.00ден,"Технички чорапи наменети за качувачи на карпа
80% полиамид, 20% еластин",https://www.scout.mk/wp-content/uploads/2023/02/29R900100-600x600.png,['m'],['yellow'],https://www.scout.mk/product/climbing-socks-29r/
CLINE IX M,ClineIX M RMT296,"1,590.00ден",,Кратка Маица,https://www.scout.mk/wp-content/uploads/2024/12/RMT296-E87.jpg,"['l', 'm', 'm']","['green', 'stilston', 'stilston']",https://www.scout.mk/product/clineix-m-rmt296/
Compass T-Shirt M P50,Compass T-Shirt M P50,,,Мултифункционална стреч маица со дополнителна заштита од триење на ранецот дишлива и лесна,https://www.scout.mk/wp-content/uploads/2024/03/P50637639-600x600.jpg,[],[],https://www.scout.mk/product/compass-t-shirt-m-p50/
CORIVER,Coriver M RMP390,"9,890.00ден","9,890.00ден",3/1 Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RMP390-7UR.jpg,"['l', 'xxl']","['navy', 'navy']",https://www.scout.mk/product/coriver-m-rmp390/
Crowley Pique Shirt F81783,Crowley Pique Shirt F81783,,,Пике кошула со кратки ракави изработена од функционален материјал што брзо се суши. Класичен дизајн со ниска јака и три копчиња напред.,https://www.scout.mk/wp-content/uploads/2024/03/Crowley_Pique_Shirt_M_81783-520_A_MAIN_FJR-6-600x600.png,['m'],['olive'],https://www.scout.mk/product/crowley-pique-shirt-f81783/
DAYHIKE TRS IV M,Dayhike Trs IV M RMJ278,"3,703.00ден","5,290.00ден","Панталони
Водоодбивни и ветероотпорни
Изработени од многу дишлив (10.000g/m2/24hrs) и стреч материјал",https://www.scout.mk/wp-content/uploads/2023/12/RMJ278_540_P_1-600x600.jpg,"['36', '38', '38', '40']","['black', 'navy', 'navy', 'navy']",https://www.scout.mk/product/dayhike-trs-iv-m-rmj278/
DIVER X,DIVER X,,,"Материјал:
R-TEX
Флис
Микрофибер
Карактеристики:
Touch Tec",https://www.scout.mk/wp-content/uploads/2022/12/6205232-7702-600x600.jpg,[],[],https://www.scout.mk/product/diver-x/
Divino Fz Hoodie M MIV9355,Divino Fz Hoodie M MIV9355,"6,490.00ден","6,490.00ден",Дуксер со капуљача од органски памук топол и мек,https://www.scout.mk/wp-content/uploads/2022/04/miv9355-4104-Copy-600x600.jpg,['m'],['red'],https://www.scout.mk/product/divino-fz-hoodie-m-miv9355/
DUBLINER INSULATED LONG JACKET,DUBLINER INSULATED LONG JACKET 53510_990,"13,190.00ден","13,190.00ден",Ветероодбивна јакна со Helly Tech™ водоотпорна технологија и дишечка мембрана. Содржи PrimaLoft® топлоизолација за студено и врнежливо време,https://www.scout.mk/wp-content/uploads/2023/12/53510_990-600x600.jpg,['xxl'],['black'],https://www.scout.mk/product/dubliner-insulated-long-jacket-53510_990/
ELSBERG 2.5L JKT M,ELSBERG 2.5L JKT M,"10,490.00ден","10,490.00ден","Машка водоотпорна и ветероотпорна јакна со капа, хард шел",https://www.scout.mk/wp-content/uploads/2025/02/1115881-6000.jpeg,"['l', 'l', 'xl', 'xl']","['black', 'black', 'grey', 'grey']",https://www.scout.mk/product/elsberg-2-5l-jkt-m/
Embrace T-Shirt M P49,Embrace T-Shirt M P49,,,"Мултифункционална стреч маица, дишлива и лесна изработена од полиестер",https://www.scout.mk/wp-content/uploads/2024/03/P49639639-600x600.jpg,['l'],['blue'],https://www.scout.mk/product/embrace-t-shirt-m-p49/
Expedition X-Lätt Vest F87076,Expedition X-Lätt Vest F87076,,,Лесен елек што може да се пакува со синтетичко полнење за пешачење и живот на отворено.,https://www.scout.mk/wp-content/uploads/2024/03/Expedition_X-Latt_Vest_M_87076-243_A_MAIN_FJR-4-600x600.png,['l'],['orange'],https://www.scout.mk/product/expedition-x-latt-vest-f87076/
Extrem G Mitten MIV7900,Extrem G Mitten MIV7900,,,"Ракавици наменети за екстремни услови GOREtex мембрана за целосна водоотпорност, ветроодбивност и дишливостОтпорни на триење, антибактериски третман",https://www.scout.mk/wp-content/uploads/2021/11/miv7900-0247-600x600.jpg,[],[],https://www.scout.mk/product/extrem-g-mitten-miv7900/
Ezdale M RMP378,Ezdale M RMP378,,,Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RMP378-0M8.jpg,[],[],https://www.scout.mk/product/ezdale-m-rmp378/
Fade Headband X60,Не е достапно,"1,690.00ден",,Мултифункционална трака за глава,https://www.scout.mk/wp-content/uploads/2024/03/X60320208-4.jpg,"['l', 'l', 's', 's']","['blue', 'blue', 'red', 'red']",https://www.scout.mk/product/fade-headband-x60-2/
FANES 3 CAP,Fanes 3 Cap 27823,,,Функционална Капа,https://www.scout.mk/wp-content/uploads/2021/04/27823-310-600x600.jpg,[],[],https://www.scout.mk/product/fanes-3-cap-27823/
Fast Running Socks 69A,Fast Running Socks 69A,,,"Технички чорапи 80% памук, 10% најлон, 10% еластин",https://www.scout.mk/wp-content/uploads/2021/03/69A907713-600x600.jpg,[],[],https://www.scout.mk/product/fast-running-socks-69a/
Feldberg Hoody M 1306922,Feldberg Hoody M 1306922,"7,590.00ден",,"Софтшел Јакна со капуљача
Водоодбивна и ветероодбивна
Изработена од средно дебел софтшел материјал",https://www.scout.mk/wp-content/uploads/2023/05/1306922_1274_A030-600x600.png,"['m', 'm', 'xxl']","['black', 'black', 'blue']",https://www.scout.mk/product/feldberg-hoody-m-1306922/
FERNBLICK 2L JKT M,FERNBLICK 2L JKT M,"12,290.00ден",,"Машка спортска јакна со капа, хард шел",https://www.scout.mk/wp-content/uploads/2025/02/1116371-6000.jpg,"['l', 'l', 'm', 'm', 'xl', 'xxl']","['black', 'black', 'black', 'navy', 'navy', 'navy']",https://www.scout.mk/product/fernblick-2l-jkt-m/
FINGAL EDITION,FINGAL EDITION,"1,490.00ден",,Машка спортска маица,https://www.scout.mk/wp-content/uploads/2025/02/RMT237-61.jpg,"['l', 'l', 'l', 'm', 'm', 'm', 'xl', 'xl', 'xxl']","['grey', 'grey', 'grey', 'navy', 'navy', 'orange', 'orange', 'orange', 'orange']",https://www.scout.mk/product/fingal-edition/
FINGAL SLOGAN III M,FINGAL SLOGAN III M RMT290,"1,490.00ден",,Функционална маица со кратки ракави. Изработена од издржлива пике ткаенина која обезбедува долготрајно носење. Брзо сушлива. Со UV30+ заштита.,https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RMT290_15_P_1.jpg,"['l', 'l', 'm', 'm', 'xl']","['blue', 'blue', 'orange', 'orange', 'orange']",https://www.scout.mk/product/fingal-slogan-iii-m-rmt290/
