Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
1960 Logo T-shirt F83513,1960 Logo T-shirt F83513,"3,090.00ден",,Лесна маичка изработена од органски памук и рециклиран полиестер.,https://www.scout.mk/wp-content/uploads/2024/03/1960_Logo_T-shirt_W_83513-243_A_MAIN_FJR-6-600x600.png,"['l', 'm', 'm', 's']","['green', 'orange', 'orange', 'orange']",https://www.scout.mk/product/1960-logo-t-shirt-f83513/
Abisko Hike Shirt W F87140,Abisko Hike Shirt W F87140,,,Лесна кошула со долги ракави за пешачење и патување во топла клима.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Hike_Shirt_W_87140-543_A_MAIN_FJR-4-600x600.png,"['m', 's']","['blue', 'blue']",https://www.scout.mk/product/abisko-hike-shirt-w-f87140/
Abisko Lite Fleece Jacket F87142,Abisko Lite Fleece Jacket F87142,"9,290.00ден",,Лесен флис што се пакува совршен за еднодневни патувања.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Fleece_Jacket_W_87142-534_A_MAIN_FJR-6-600x600.png,"['l', 'l', 'm', 'm']","['green', 'green', 'navy', 'navy']",https://www.scout.mk/product/abisko-lite-fleece-jacket-f87142/
Abisko Lite Trekking Jacket F86131,Abisko Lite Trekking Jacket F86131,,,Лесна и дишлива јакна за пешачење во топли услови.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Lite_Trekking_Jacket_W_86131-321-333_A_MAIN_FJR-6-600x600.png,"['l', 'm', 's']","['red', 'red', 'red']",https://www.scout.mk/product/abisko-lite-trekking-jacket-f86131/
Abisko Midsummer Jacket F89826,Abisko Midsummer Jacket F89826,"14,290.00ден",,"Лесна, дишлива и јакна што може да се пакува, совршена за пешачење во топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Jacket_W_89826-534-555_A_MAIN_FJR-2-600x600.png,"['l', 'm', 's', 's']","['green', 'green', 'navy', 'navy']",https://www.scout.mk/product/abisko-midsummer-jacket-f89826/
Abisko Midsummer Trs F89827,Abisko Midsummer Trs F89827,"11,790.00ден",,"Лесни, дишливи женски трекинг панталони. Совршени за топла клима.",https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Midsummer_Trs_W_Reg_89827-534-555_A_MAIN_FJR-3-600x600.png,"['36', '38']","['navy', 'navy']",https://www.scout.mk/product/abisko-midsummer-trs-f89827/
Abisko Short Tights F87138,Abisko Short Tights F87138,,,Кратки хеланки изработени од растеглива ткаенина што пренесува влага. Совршен за дневни планинарења и живот на отворено.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Short_Tights_W_87138-614_A_MAIN_FJR-6-600x600.png,"['l', 'm', 's']","['green', 'green', 'green']",https://www.scout.mk/product/abisko-short-tights-f87138/
Abisko Tights F84773,Abisko Tights F84773,,,Удобни хеланки изработени од растегива ткаенина што ја отстранува влагата. Одлични за дневни планинарења и секојдневен живот на отворено.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Tights_W_84773-550_A_MAIN_FJR-6-600x600.png,[],[],https://www.scout.mk/product/abisko-tights-f84773/
Abisko Trail Fleece F89589,Abisko Trail Fleece F89589,,,Лесен и удобен флис со капуљача што комбинира две различни полиестерски ткаенини (и нови и рециклирани). Еден џеб на градите и два рачни џебови.,https://www.scout.mk/wp-content/uploads/2024/03/Abisko_Trail_Fleece_W_89589-614_A_MAIN_FJR-3-600x600.png,[],[],https://www.scout.mk/product/abisko-trail-fleece-f89589/
Aconcagua Light ML Jacket Women 1014-04430,Aconcagua Light ML Jacket Women 1014-04430,,,"Флис
Изработен од стреч материјал со лесна до средна топлотна изолацијаДишлив и отпорен на триење",https://www.scout.mk/wp-content/uploads/2023/12/1014-04430-5118.jpg,[],[],https://www.scout.mk/product/aconcagua-light-ml-jacket-women-1014-04430/
